Date,State,Municipality,Context/Bias Indicator,Fatal,Vandalism,FIR,CounterFIR,yearmon,loc,lon,lat
2014-10-24T00:00:00Z,Delhi,East Delhi,Communal clashes,0,0,1,0,Oct 2014,"East Delhi, Delhi",77.29562729999999,28.6279559
2014-10-25T00:00:00Z,Delhi,East Delhi,Communal clashes,0,0,1,0,Oct 2014,"East Delhi, Delhi",77.29562729999999,28.6279559
2015-01-16T00:00:00Z,Karnataka,Dakshina Kannada,Communal clashes,0,1,1,0,Jan 2015,"Dakshina Kannada, Karnataka",75.2479061,12.8437814
2016-10-17T00:00:00Z,West Bengal,North 24 Paraganas,Communal clashes,0,1,1,0,Oct 2016,"North 24 Paraganas, West Bengal",88.402895,22.6168099
2017-12-08T00:00:00Z,Karnataka,Uttara Kannada,Communal clashes,1,0,1,0,Dec 2017,"Uttara Kannada, Karnataka",74.6868815,14.7937065
2018-01-12T00:00:00Z,Uttar Pradesh,Allahabad,Communal clashes,0,0,1,0,Jan 2018,"Allahabad, Uttar Pradesh",81.846311,25.4358011
2018-01-26T00:00:00Z,Uttar Pradesh,Kasganj,Communal clashes,1,0,1,0,Jan 2018,"Kasganj, Uttar Pradesh",78.64610979999999,27.808529
2018-03-05T00:00:00Z,Rajasthan,Tonk,Communal clashes,0,0,0,0,Mar 2018,"Tonk, Rajasthan",75.7962852,26.1659063
2018-03-17T00:00:00Z,Bihar,Bhagalpur,Communal clashes,0,1,1,0,Mar 2018,"Bhagalpur, Bihar",86.9842256,25.242453
2018-03-18T00:00:00Z,Rajasthan,Tonk,Communal clashes,0,1,0,0,Mar 2018,"Tonk, Rajasthan",75.7962852,26.1659063
2018-03-24T00:00:00Z,Bihar,Siwan,Communal clashes,0,1,1,0,Mar 2018,"Siwan, Bihar",84.3599953,26.2243204
2018-03-25T00:00:00Z,Bihar,Aurangabad,Communal clashes,0,1,1,0,Mar 2018,"Aurangabad, Bihar",84.3542049,24.7033198
2018-03-25T00:00:00Z,West Bengal,Purulia,Communal clashes,1,0,1,0,Mar 2018,"Purulia, West Bengal",86.3616405,23.3322026
2018-03-27T00:00:00Z,Bihar,Samastipur,Communal clashes,0,1,1,0,Mar 2018,"Samastipur, Bihar",85.7868233,25.8560271
2018-03-27T00:00:00Z,Bihar,Munger,Communal clashes,0,1,0,0,Mar 2018,"Munger, Bihar",86.47339029999999,25.3707993
2018-03-28T00:00:00Z,Bihar,Sheikhpura,Communal clashes,0,1,1,0,Mar 2018,"Sheikhpura, Bihar",85.86289149999999,25.1416937
2018-03-28T00:00:00Z,Bihar,Nalanda,Communal clashes,0,1,1,0,Mar 2018,"Nalanda, Bihar",85.47880649999999,25.2621826
2018-03-28T00:00:00Z,West Bengal,Asansol,Communal clashes,1,0,1,0,Mar 2018,"Asansol, West Bengal",86.9660638,23.6888636
