final_founding,STATE,DISTRICT_NAME,SCHOOL_NAME,vb_school,char_diff,kshetra,pranta,district,locality,loc2,lon,lat,avg_year
1998,Assam,SONITPUR,SHANKARDEV SISHU NIKETAN,"*SHANKARDEV SHISHU NIKETAN, DHIRAI MAJULI",0.5853659,Vidya Bharti Purvottar Kshetra,Uttar Assam,Sonitpur,Dhirai Majuli,"Dhirai Majuli, Sonitpur, India",92.5201928,26.6318294,1995.7142857142858
1974,Kerala,KANNUR,TAGORE VIDYA NIKETAN GHSS,A V S TAGORE VIDYA PEEDOM HS,0.5,Vidya Bharti Dakshin Kshetra,Kerala,Kannur,Peedom,"Peedom, Kannur, India",75.37036619999999,11.8744775,1992.8461538461538
1979,Tamil Nadu,VELLORE,"A J SARASWATHI MATRICULATION VIDYALAYA, GUDIYATHAM VEL","A.J. SARASWATHI MATRIC. VIDYALAYA, GUDIYATHAM, VELLORE DISTRICT",0.6349206,Vidya Bharti Dakshin Kshetra,Uttar Tamil Nadu,Vellore,vellore district,"vellore district, Vellore, India",79.13249859999999,12.9165167,1995
2001,Rajasthan,DHAULPUR,A.V.M. BARAULI,A.V.M BARAULI,0.9285714,Vidya Bharti Rajasthan Kshetra,Jaipur,Dholpur,Balauri,"Balauri, Dholpur, India",77.8907576,26.6965521,1977.4285714285713
1996,Rajasthan,BIKANER,"ARUNODAY VIDYA MANDIR SR.SEC.SCHOOL, GANGASHAHAR","A.V.M.GIRLS SR.SEC., GANGASHAHAR",0.5,Vidya Bharti Rajasthan Kshetra,Jodhpur,Bikaner,Gangasahar,"Gangasahar, Bikaner, India",73.297175,27.9898389,1973.5
1947,Rajasthan,BIKANER,G.U.P.S. BOTHRA GANGASHAHAR,"A.V.M.PPIMARY, GANGASHAHAR",0.5555556,Vidya Bharti Rajasthan Kshetra,Jodhpur,Bikaner,Bikaner,"Bikaner, Bikaner, India",73.3119159,28.0229348,1973.4444444444443
1997,Rajasthan,BHILWARA,GAYATRI ADARSH  VIDHYA MANDIR MANDALGARH,AADARSH VIDAYA MANDIR MANDAL GARH,0.75,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Bhilwara,"Bhilwara, Bhilwara, India",74.63131829999999,25.3407388,1994.304347826087
2009,Rajasthan,JHALAWAR,"BAL ADRARSH VIDHYA MANDIR, PAGARIYA",AADARSH VIDHA MANDIR PAGARIYA,0.828571428571429,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Jhalawar,BHAWANIMANDI,"BHAWANIMANDI, Jhalawar, India",75.8214371,24.4054876,1999.5555555555557
2006,Rajasthan,BHILWARA,ADARSH VIDHYA MANDIR MOKHAMPURA  AZADNAGAR BHL,"AADARSH VIDHYA MANDIR MADHYAMIK VIDHYALAY, RAIPUR BHILWARA",0.5689655,Vidya Bharti Rajasthan Kshetra,Chittorgarh,Bhilwara,Raipur,"Raipur, Bhilwara, India",74.1606956,25.4004967,2004.3
1997,Rajasthan,JAISALMER,ADARSH VIDHYA MANDIR SEC SCH_RAMGARH,"AADARSH VIDHYA MANDIR SECONDARY, FATEHGARH",0.6904762,Vidya Bharti Rajasthan Kshetra,Jodhpur,Jaisalmer,Fatehgarh,"Fatehgarh, Jaisalmer, India",71.5825037,26.731414,2001.1666666666667
